"","School","ID","CoNo","StNo","Low","High","Students"
"73","CULLMAN CHRISTIAN SCHOOL","A0900020","43","01",-1,12,114
"74","CUMBERLAND PRESBYTERIAN PRESCH","A0100100","71","01",-1,0,83
"75","DALE COUNTY CHRISTIAN SCHOOL","00001795","45","01",-1,12,65
"76","DEBORAHS DAY CARE & KINDERGART","A0770039","89","01",-1,0,26
"77","DECATUR HERITAGE CHRISTIAN ACA","00001944","103","01",0,12,381
"78","DEEPER LIFE ACADEMY","A0100404","73","01",-1,11,88
"79","DIXONS TOTAL TOUCH CHILD DEVEL","A0770128","97","01",-1,5,194
"80","DORA FIRST BAPTIST CHURCH","A0770041","127","01",-1,0,106
"81","DUNNAMS PRIVATE SCHOOL","00001853","73","01",-1,1,150
"82","EAST GADSDEN BAPTIST CHURCH KI","A9703737","55","01",-1,0,95
"83","EAST MEMORIAL CHRISTIAN ACADEM","A0500015","1","01",-1,12,284
"84","EASTERN SHORE EARLY CHILDHOOD","A9703738","3","01",-1,1,100
"85","EASTMONT BAPTIST KINDERGARTEN","A0900023","101","01",-1,0,162
"86","EASTWOOD CHRISTIAN SCHOOL","A0100134","101","01",0,12,354
"87","EMMANUEL CHRISTIAN SCHOOL","00002802","69","01",-1,12,492
"88","EMMANUEL JUNIOR ACADEMY","AA000956","97","01",1,8,11
"89","ENTERPRISE PREPARATORY ACADEMY","A0100135","31","01",-1,12,131
"90","EPISCOPAL DAY SCHOOL","00001321","55","01",-1,12,88
"91","ESCAMBIA ACADEMY","00001015","53","01",-1,12,314
"92","EVANGEL CHRISTIAN ACADEMY","A9700008","101","01",0,12,280
"93","EVANGEL CHRISTIAN SCHOOL","00000929","97","01",-1,5,145
"94","EVANGEL CLASSICAL CHRISTIAN SC","A0770049","117","01",-1,12,426
"95","EXCEL INSTITUTE","A1100002","55","01",7,12,30
"96","FAITH ACADEMY","A9100128","97","01",-1,12,1918
"97","FAITH CHRISTIAN ACADEMY","A1170047","3","01",-1,7,75
"98","FAITH CHRISTIAN ACADEMY","A9900080","111","01",-1,12,106
"99","FAITH CHRISTIAN ACADEMY","A0900025","123","01",-1,10,51
"100","FAITH CHRISTIAN MINISTRIES","A1170048","47","01",-1,6,63
"101","FAITH CHRISTIAN SCHOOL","A9100130","15","01",-1,12,300
"102","FAMILY SUNSHINE SCHOOL","A0900029","73","01",0,12,290
"103","FIRST ASSEMBLY CHRISTIAN SCHOO","A9900026","27","01",-1,12,173
"104","FIRST BAPT KINDER/DAYCARE","A0900030","115","01",0,0,11
"105","FIRST BAPTIST CHILD DEVELOPMEN","A9703741","89","01",-1,4,283
"106","FIRST BAPTIST CHILD DEVELOPMEN","A0900031","51","01",-1,0,111
"107","FIRST BAPTIST CHURCH OF GARDEN","A1170055","73","01",-1,0,269
"108","FIRST BAPTIST CHURCH-PINSON","A1170057","73","01",-1,0,111
"109","FIRST BAPTIST KINDERGARTEN","K9300030","1","01",-1,0,140
"110","FIRST CHRISTIAN CHURCH EARLY C","A1150001","89","01",-1,0,98
"111","FIRST PRESBYTERIAN KINDERGARTE","A0900032","1","01",-1,0,64
"112","FIRST UNITED METHODIST CHURCH ","A0100165","69","01",-1,0,93
"113","FIRST UNITED METHODIST KINDERG","A0100166","121","01",-1,0,180
"114","FLINT HILL CHRISTIAN SCHOOL","01608822","73","01",-1,12,307
"115","FLORAL CREST JR ACADEMY","00003384","71","01",0,9,26
"116","FORESTDALE BAPTIST","00001376","73","01",-1,6,113
"117","FORT DALE ACADEMY","00001897","13","01",-1,12,477
"118","GARDENDALE CHRISTIAN ACADEMY","A9900029","73","01",-1,5,100
"119","GODS HOUSE KINDERGARTEN","A0770071","73","01",-1,0,192
"120","GOOD SHEPHERD ACADEMY","AA000617","97","01",1,12,50
"121","GOOD SHEPHERD LUTHERAN SCHOOL","A0700007","3","01",-1,0,19
"122","GOVERNMENT STREET CHRISTIAN SC","00002551","97","01",-1,8,185
"123","GRACE CHRISTIAN ACADEMY","A1190002","127","01",1,12,40
"124","GRACE LUTHERAN SCHOOL","00001183","89","01",-1,8,137
"125","GRACE TEMPLE CHRISTIAN ACADEMY","A1170074","97","01",-1,1,72
"126","GREEN GATE SCHOOL","00000893","101","01",-1,8,82
"127","GREENGATE SCHOOL","A0900039","89","01",1,8,35
"128","GUARDIAN ANGEL CHRISTIAN ACADE","A0900040","39","01",0,0,5
"129","HAMPTON COVE CHRISTIAN ACADEMY","A9900035","89","01",-1,3,213
"130","HARVEST BAPTIST CHURCH CHILD C","A0770080","89","01",-1,0,21
"131","HARVEST CHRISTIAN SCHOOL","A9900037","45","01",-1,11,43
"132","HERITAGE CHILD DEVELOPMENT CEN","A0100207","101","01",-1,0,126
"133","HIGHLANDS SCHOOL","00002052","73","01",-1,8,279
"134","HILLTOP MONTESSORI SCHOOL","A0307016","117","01",-1,8,186
"135","HOLY CROSS EPISCOPAL SCHOOL","A0100217","101","01",-1,6,134
"136","HOLY FAMILY CRISTO REY CATHOLI","00000237","73","01",8,12,210
"137","HOLY FAMILY ELEMENTARY","00000248","73","01",-1,8,141
"138","HOLY FAMILY PAROCHIAL SCHOOL","00000055","89","01",-1,8,169
"139","HOLY SPIRIT CATHOLIC REGIONAL ","00000044","125","01",7,12,245
"140","HOLY SPIRIT SCHOOL","00000077","89","01",0,8,414
"141","HOLY TRINITY DAY SCHOOL","A0300025","81","01",-1,0,45
"142","HOOPER ACADEMY","00002063","101","01",-1,12,380
"143","HOOVER CHRISTIAN SCHOOL","AA000153","73","01",-1,10,54
"144","HOUSTON ACADEMY","00001503","69","01",-1,12,615
"145","HUNTSVILLE ACHIEVEMENT SCHOOL","00000816","89","01",1,12,22
"146","HUNTSVILLE CHRISTIAN ACADEMY","A0100214","89","01",-1,12,129
"147","IDER CHRISTIAN ACADEMY DAYCARE","A1170058","49","01",-1,0,44
"148","IN THE BEGINNING CHRISTIAN ACA","A0990003","89","01",-1,11,31
"149","INDIAN SPRINGS SCHOOL","00001401","117","01",8,12,261
"150","INTEGRITY CHRISTIAN ACADEMY","A9900042","73","01",-1,5,109
"151","ISLAMIC ACADEMY OF ALABAMA","A9900043","73","01",-1,11,192
"152","ISLAMIC ACADEMY OF HUNTSVILLE","A9900040","89","01",-1,5,53
"153","J & M DAY CARE CENTER","A1170094","67","01",0,0,6
"154","JACKSON ACADEMY","A0770089","25","01",-1,12,186
"155","JACKSON CREEK CHRISTIAN ACADEM","A0500021","97","01",-1,8,112
"156","JANICE MITCHELL ISBELL ACADEMY","A0500022","89","01",8,8,3
"157","JEFFERSON CHRISTIAN ACADEMY","00000882","73","01",-1,12,266
"158","JESUS CHRIST CHRISTIAN SCHOOL","A0100227","73","01",-1,8,8
"159","JESUS CHRISTIAN DAYCARE AND SC","A1170098","73","01",-1,2,48
"160","JOHN CARROLL CATHOLIC HIGH SCH","00000226","73","01",9,12,624
"161","JOSEPH S BRUNO MONTESSORI ACAD","A0100229","117","01",-1,8,204
"162","KEY OF LIFE","A0100395","85","01",-1,12,10
"163","KINGWOOD CHRISTIAN SCHOOL","01608811","117","01",0,12,393
"164","KNOLLWOOD CHRISTIAN SCHOOL","A9900044","121","01",0,7,47
"165","KNOLLWOOD CHRISTIAN SCHOOL","02000927","97","01",-1,8,465
"166","LAKEVIEW SCHOOL","A0700011","73","01",1,8,14
"167","LAWRENCE COUNTY CHRISTIAN SCHO","02000734","79","01",-1,11,43
"168","LET THY KINGDOM COME OUTREACH ","A1170117","119","01",-1,7,119
"169","LIGHTHOUSE BAPTIST ACADEMY","A0992002","97","01",-1,12,189
"170","LIGHTHOUSE CHRISTIAN ACADEMY","AA890008","101","01",-1,8,174
"171","LIGHTHOUSE CHRISTIAN SCHOOL","A0300028","63","01",-1,6,5
